Timestamp,Participant ID,What is your age?,What is your gender?,What is your ethnicity? (Check all that apply),What is your occupation?,What is your major? Check all that apply:,How often do you use Google map in your daily activities?,How often do you use Twitter in your daily activities?,How familiar are you with data visualization?,How often do you consume news from social media?,"Would you consider yourself to be a Republican, a Democrat, an Independent, or Other?",Is talkative,Tends to find fault with others,Does a thorough job,"Is depressed, blue","Is original, comes up with new ideas",Is reserved,Is helpful and unselfish with others,Can be somewhat careless,"Is relaxed, handles stress well",Is curious about many different things,Is full of energy,Starts quarrels with others,Is a reliable worker,Can be tense,"Is ingenious, a deep thinker",Generates a lot of enthusiasm,Has a forgiving nature,Tends to be disorganized,Worries a lot,Has an active imagination,Tends to be quiet,Is generally trusting,Tends to be lazy,"Is emotionally stable, not easily upset",Is inventive,Has an assertive personality,Can be cold and aloof,Perseveres until the task is finished,Can be moody,"Values artistic, aesthetic experiences","Is sometimes shy, inhibited",Is considerate and kind to almost everyone,Does things efficiently,Remains calm in tense situations,Prefers work that is routine,"Is outgoing, sociable",Is sometimes rude to others,Makes plans and follows through with them,Gets nervous easily,"Likes to reflect, play with ideas",Has few artistic interests,Likes to cooperate with others,Is easily distracted,"Is sophisticated in art, music, or literature"
7/19/2017 10:39:48,TD-3,22,Female,"East Asian e.g.  Chinese, Japanese, South-East Asian",Undergraduate,Applied Language- Spanish,7,1,1,5,Democrat,3,1,7,2,1,5,6,7,4,7,5,1,7,6,3,7,7,3,2,2,7,7,7,2,6,1,1,5,7,6,7,7,7,4,7,2,3,3,5,6,5,7,5,7
7/19/2017 10:39:49,TD-4,19,Female,Hispanic/Latino,Undergraduate,Computer Science,5,7,1,5,Democrat,7,2,5,1,3,1,6,4,3,4,6,3,5,3,2,6,5,4,4,4,1,2,2,5,3,5,1,3,3,4,1,6,2,2,6,7,4,2,4,3,2,5,6,3
7/19/2017 13:52:50,TC-5,29,Male,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Computer Science,7,7,7,7,Independent,5,2,7,1,6,5,6,2,7,7,7,1,7,2,6,7,7,1,3,7,7,7,2,6,6,6,2,7,5,7,3,6,6,6,4,4,2,6,2,6,6,6,2,6
7/19/2017 16:02:52,TC-6,29,Female,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Computer Science,7,4,4,6,Democrat,5,3,4,2,5,2,5,5,6,5,5,2,6,3,5,5,5,4,2,5,2,5,4,5,5,5,3,4,4,5,3,6,6,6,3,6,2,5,4,5,5,6,5,4
7/20/2017 10:35:29,CC-5,25,Male,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Computer Science,5,7,4,7,Undecided,6,6,5,1,7,3,4,6,7,7,7,3,5,4,5,7,7,1,1,7,3,7,4,6,6,6,1,7,4,7,5,5,5,5,1,6,4,5,2,7,2,5,3,6
7/20/2017 10:39:37,CC-6,20,Female,Haitian American,Undergraduate,History,1,4,2,7,Independent,6,7,5,1,3,3,2,7,2,7,3,1,7,7,7,5,1,4,7,7,3,7,6,4,4,4,6,4,7,7,2,6,5,1,7,7,3,7,7,2,1,5,5,7
7/20/2017 14:19:58,TD-5,30,Female,"East Asian e.g.  Chinese, Japanese, South-East Asian",Master,Business,4,2,4,4,,3,3,6,2,5,5,5,3,5,6,6,2,7,5,6,6,5,3,3,4,5,6,2,5,6,6,3,5,4,5,5,6,6,5,2,3,2,6,2,6,6,5,2,3
7/21/2017 10:38:21,TD-6,19,Female,"Indian, Pakistani, Bangladeshi, or any other Asian",Undergraduate,Pre-Nursing,2,1,2,4,Democrat,5,3,6,1,4,4,6,3,3,5,4,1,6,4,5,4,5,4,6,3,4,7,6,6,3,3,4,6,3,5,4,6,6,5,4,4,5,5,3,3,4,6,6,4
7/21/2017 12:15:10,TC-7,19,Male,"Arabian, Egyptian or Maghreb",Undergraduate,Computer Science,6,4,6,4,Democrat,4,3,6,5,6,5,7,5,5,7,5,3,6,5,7,4,7,5,5,6,5,7,5,6,6,5,3,7,3,6,7,7,5,6,3,5,2,7,2,6,4,7,7,2
7/21/2017 14:08:49,TC-8,41,Female,"East Asian e.g.  Chinese, Japanese, South-East Asian",Undergraduate,Business,6,2,4,2,Democrat,4,3,7,4,5,4,6,3,5,7,6,3,7,6,6,5,3,6,6,5,4,4,4,4,5,4,4,4,5,6,5,6,5,5,6,5,4,4,5,5,5,5,4,5
7/21/2017 16:49:09,TD-7,34,Male,White/Caucasian/European,PhD,Computer Science,7,5,4,7,,3,1,5,2,5,5,6,2,3,7,6,5,7,4,6,5,5,2,3,3,4,7,1,4,5,4,4,7,5,5,3,5,6,5,2,5,4,7,4,7,3,5,2,7
7/24/2017 10:24:47,TD-8,19,Female,Hispanic/Latino,Undergraduate,Pre-Nursing,2,3,2,4,Democrat,3,2,5,1,2,5,5,2,2,5,4,1,5,5,2,4,4,1,6,5,5,3,2,5,3,2,5,5,4,5,6,5,5,4,5,4,3,6,6,3,4,4,5,4
7/24/2017 11:55:42,CC-7,21,Female,White/Caucasian/European,Undergraduate,Pre-Nursing,4,7,1,4,Republican,4,2,7,1,5,6,7,3,4,4,6,2,7,3,4,5,6,1,5,4,6,7,3,6,4,4,1,7,4,4,5,7,7,4,6,4,2,6,5,4,3,6,4,2
7/25/2017 10:36:06,CC-9,27,Male,White/Caucasian/European,Master,Public Administration,4,4,4,7,Independent,5,2,7,1,6,4,7,1,5,6,7,1,7,3,6,7,6,1,2,5,3,7,1,7,6,5,1,7,1,4,3,7,7,7,5,7,1,7,4,4,4,7,1,3
7/25/2017 10:36:31,CC-8,25,Female,White/Caucasian/European,Faculty/Staff,Staff,7,2,1,7,Independent,7,1,6,4,6,3,6,4,3,7,3,1,6,5,6,4,5,2,5,7,3,5,4,3,6,5,1,5,6,7,3,7,5,4,3,4,2,5,6,6,1,6,5,7
7/25/2017 10:36:32,CC-10,25,Female,White/Caucasian/European,Faculty/Staff,Public Administration,7,2,3,5,Democrat,6,4,3,5,3,2,5,2,6,6,4,1,7,3,7,5,6,5,5,6,2,3,5,6,3,5,2,4,2,3,3,6,7,6,3,6,3,6,2,5,6,5,6,2
7/25/2017 13:59:30,TC-9,28,Female,White/Caucasian/European,Undergraduate,Psychology,5,1,1,2,Democrat,5,2,5,4,5,4,5,3,2,6,3,4,6,5,4,5,3,1,6,5,3,3,1,4,4,5,3,5,7,7,5,6,5,4,6,5,4,2,6,5,2,6,5,5
7/26/2017 16:06:41,TC-10,21,Female,White/Caucasian/European,Undergraduate,Psychology,1,1,1,5,Democrat,5,2,6,2,5,1,5,2,3,6,5,1,6,4,4,4,4,1,3,4,2,6,2,3,4,4,1,6,4,3,2,6,6,4,2,5,2,3,4,6,6,5,5,2
7/27/2017 10:36:49,TD-9,22,Female,Black/African,Undergraduate,Exercise Science,3,4,1,6,Democrat,6,3,5,5,5,2,6,4,3,7,6,7,6,6,7,7,7,7,7,7,2,6,5,1,5,5,6,6,7,7,1,6,6,2,6,6,7,5,3,6,2,6,7,7
7/27/2017 12:09:26,TD-14,21,Male,White/Caucasian/European,Undergraduate,Computer Science,5,2,4,6,Democrat,4,6,6,3,6,6,5,5,5,5,5,3,5,5,5,5,5,3,3,4,3,5,3,5,5,5,4,5,4,5,3,4,5,5,4,5,3,5,3,5,3,5,4,5
7/27/2017 12:10:03,TD-10,23,Female,White/Caucasian/European,Undergraduate,Psychology,2,1,4,6,Democrat,4,3,5,3,5,5,6,4,2,6,5,2,6,2,7,6,2,4,5,7,4,5,2,3,5,3,5,5,6,6,5,6,6,3,7,5,5,4,6,6,2,4,7,5
7/27/2017 12:10:50,TD-11,18,Male,"White/Caucasian/European, Black/African, Native American/American Indian",Undergraduate,Psychology,5,1,6,6,Independent,7,5,7,5,6,7,7,5,6,7,7,5,5,5,7,6,7,4,5,7,7,7,4,6,4,4,3,6,3,7,4,7,6,7,6,4,3,4,3,5,3,3,7,5
7/27/2017 12:11:06,TD-13,19,Male,White/Caucasian/European,Undergraduate,Computer Science,2,1,5,3,I do not identify specifically with the views of one party on all issues ,5,6,6,2,6,3,4,4,5,6,6,6,6,5,7,4,3,4,3,7,3,6,3,5,6,6,6,5,5,4,2,2,6,5,4,5,6,5,3,5,3,5,5,4
7/27/2017 12:11:49,TD-12,19,Female,White/Caucasian/European,Undergraduate,Computer Science,6,2,3,2,Independent,2,3,6,6,6,3,7,2,5,3,1,1,6,6,5,5,7,3,2,1,5,4,4,6,4,5,5,6,3,5,6,6,7,6,2,4,3,5,6,6,4,4,1,4
7/27/2017 14:13:23,TC-13,19,Male,"Indian, Pakistani, Bangladeshi, or any other Asian, Arabian, Egyptian or Maghreb",Undergraduate,Computer Science,6,3,5,2,Independent,4,5,3,5,2,6,3,3,3,7,4,1,3,3,4,3,5,7,4,6,6,5,6,5,3,2,6,2,4,7,6,5,4,6,6,4,3,2,5,6,5,3,4,6
7/27/2017 14:14:11,TC-11,22,Male,White/Caucasian/European,Undergraduate,Computer Science,6,3,5,7,Independent,5,4,5,7,6,5,3,5,5,7,6,2,4,4,6,6,7,2,7,7,5,5,7,3,7,6,3,4,6,6,6,6,6,6,3,6,6,5,5,6,3,5,7,6
7/27/2017 14:15:38,TC-12,23,Male,White/Caucasian/European,Postbacc ,Computer Science,5,2,4,7,Democrat,6,5,5,3,6,4,5,4,3,6,5,3,5,4,5,6,5,3,4,6,6,5,5,5,6,5,4,5,4,5,3,5,5,4,6,6,3,5,4,5,6,5,5,6
7/28/2017 14:10:43,CC-11,29,Male,White/Caucasian/European,Financial Analyst,Business,3,2,1,2,Democrat,3,2,5,1,5,4,6,1,5,6,4,1,6,2,4,4,5,2,2,4,3,6,1,1,5,4,1,6,2,5,2,6,5,2,2,6,1,7,2,5,2,6,4,3
7/31/2017 11:23:14,cc-14,24,Female,"East Asian e.g.  Chinese, Japanese, South-East Asian",Undergraduate,Psychology,2,2,7,5,Independent,1,7,6,6,6,5,6,6,2,6,4,4,6,5,5,4,5,4,6,6,7,6,6,3,5,3,6,5,7,6,6,6,5,1,4,2,5,4,6,6,2,4,6,6
7/31/2017 11:27:10,cc-13,20,Female,White/Caucasian/European,Undergraduate,nursing ,4,3,2,2,Republican,5,3,4,2,5,4,6,4,4,6,6,3,6,4,4,6,7,4,5,5,3,5,4,5,5,5,3,4,4,5,4,4,5,4,3,5,3,5,5,5,6,5,4,3
7/31/2017 11:43:31,TC-14,19,Female,White/Caucasian/European,Undergraduate,Biology,1,7,4,7,Republican,6,6,6,2,7,3,6,3,6,6,7,4,7,4,4,6,2,1,7,6,3,5,2,4,5,7,2,6,5,2,2,5,7,6,7,6,5,6,6,5,7,6,3,1
7/31/2017 14:07:02,TC-15,26,Male,White/Caucasian/European,Master,Public Administration,7,7,5,6,Democrat,6,4,7,3,4,1,7,3,6,7,5,3,7,4,3,5,4,2,1,3,1,5,3,7,4,5,2,7,5,2,1,7,6,6,2,6,2,7,2,5,5,6,3,2
8/1/2017 15:44:37,TD-15,36,Male,"Arabian, Egyptian or Maghreb",Postdoc,Computer Science,2,1,2,2,Independent,4,3,4,4,5,3,3,5,3,6,4,3,4,5,3,3,6,3,6,6,5,4,5,3,5,5,4,4,4,6,6,5,5,5,3,2,2,5,3,4,3,5,5,2
8/2/2017 10:43:23,CC-15,35,Female,White/Caucasian/European,Faculty/Staff,N/A,5,3,3,4,Independent,3,4,6,3,4,7,4,4,3,7,4,1,6,5,4,3,3,3,4,6,7,3,4,3,2,4,6,5,4,5,4,3,5,4,4,3,3,4,2,7,3,4,5,4
8/2/2017 10:43:33,CC-16,26,Female,Hispanic/Latino,Undergraduate,Computer Science,1,1,4,7,Democrat,5,4,7,3,7,6,5,5,6,7,4,3,7,6,7,7,7,7,7,7,3,2,6,3,7,7,5,7,6,7,3,6,7,6,3,3,2,3,2,7,4,6,7,7
8/2/2017 10:44:28,CC-17,20,Female,"White/Caucasian/European, East Asian e.g.  Chinese, Japanese, South-East Asian",Undergraduate,Computer Science,2,2,4,1,Republican,4,2,6,1,5,5,7,4,5,7,4,1,7,3,5,6,7,3,4,5,5,6,3,6,4,2,1,4,2,7,5,7,5,5,5,3,1,4,4,6,1,5,6,6
8/2/2017 10:45:18,CC-18,20,Male,Hispanic/Latino,Undergraduate,Computer Science,3,2,3,5,No affiliation,2,2,5,5,5,6,5,4,6,6,3,1,4,2,5,4,6,6,5,6,6,3,5,6,5,5,5,4,3,5,6,4,4,6,5,3,4,3,3,6,5,5,3,5
8/2/2017 10:45:58,CC-19,18,Female,"White/Caucasian/European, East Asian e.g.  Chinese, Japanese, South-East Asian",Undergraduate,Computer Science,2,1,1,6,Independent,1,1,4,1,6,7,6,5,1,4,1,1,6,4,2,3,7,7,7,7,7,2,7,3,4,1,5,5,4,7,7,7,5,3,4,1,1,5,6,4,1,3,7,4
8/2/2017 12:02:37,TC-17,20,Male,White/Caucasian/European,Undergraduate,Architecture,6,1,2,7,Independent,4,4,6,6,5,6,7,7,2,6,5,2,6,7,6,5,7,5,7,7,7,5,4,1,5,3,5,4,6,7,6,7,5,4,6,4,3,5,6,6,1,6,5,6
8/2/2017 12:04:10,TC-16,35,Male,"East Asian e.g.  Chinese, Japanese, South-East Asian",PhD,"Computer Science, Engineering",6,1,5,5,Independent,4,4,6,4,6,4,6,5,5,6,4,3,6,5,7,6,6,5,5,7,5,6,5,4,6,5,4,5,5,6,5,6,5,5,5,5,3,5,5,6,7,6,5,6
8/2/2017 14:04:07,TD-17,19,Male,Hispanic/Latino,Undergraduate,Computer Science,3,5,2,7,Independent,1,2,3,7,4,7,6,2,6,7,3,1,5,5,4,2,7,4,6,7,7,7,5,3,4,2,5,5,5,7,7,5,4,6,3,3,1,6,5,6,6,2,6,4
8/2/2017 14:05:22,TD-16,26,Female,"Black/African, Hispanic/Latino",Undergraduate,"Psychology, Sociology",5,7,1,7,None,4,3,6,1,6,5,5,2,6,7,4,1,6,2,6,6,5,2,3,7,6,3,4,6,6,6,4,6,4,7,5,5,6,6,3,2,5,4,3,6,1,5,3,6
8/2/2017 14:08:38,TD-18,28,Male,N/A,PhD,Software and Information Systems,7,2,6,6,Independent,4,4,7,1,6,4,5,4,6,6,5,2,4,5,6,6,6,5,3,7,7,5,5,5,6,4,4,5,5,7,5,6,3,6,1,2,1,5,4,7,6,3,4,7
8/3/2017 14:15:47,TC-18,26,Female,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Information Technology :Data Sciences,6,2,5,4,Democrat,6,3,7,3,7,4,6,5,5,7,6,2,7,5,6,6,6,6,3,7,4,7,6,5,5,6,6,7,6,7,5,6,7,6,3,6,4,6,4,7,7,7,4,7
8/3/2017 16:06:29,CC-12,41,Female,White/Caucasian/European,Undergraduate,Communication,2,2,2,7,Republican,6,3,7,2,7,1,6,2,5,6,6,2,7,5,5,6,4,5,6,6,1,4,1,6,6,6,2,7,2,4,2,7,7,6,7,7,1,7,4,6,5,6,2,4
8/3/2017 16:07:43,cc-20,20,Male,Black/African,Undergraduate,Business,5,1,1,7,Independent,5,2,6,1,5,2,5,2,6,6,3,5,5,5,6,6,6,3,3,6,6,6,5,6,5,5,6,6,6,7,6,6,6,6,5,4,2,4,5,6,6,7,4,4
8/3/2017 16:09:07,TC-19,22,Female,White/Caucasian/European,Undergraduate,math,7,1,3,6,Democrat,3,5,4,2,4,6,5,5,6,3,5,2,5,5,3,2,5,6,2,4,6,2,5,5,1,1,6,2,6,5,6,5,5,7,7,2,4,5,6,3,6,4,6,2
8/4/2017 10:36:36,TC-20,20,Male,White/Caucasian/European,Undergraduate,"Business, Accounting",2,1,4,6,Independent,4,1,7,1,7,4,4,1,7,7,7,1,7,7,7,7,7,7,7,7,7,7,1,7,7,7,1,7,7,7,7,7,7,7,7,7,7,4,7,4,4,4,4,7
8/4/2017 14:30:36,TD-19,40,Male,"White/Caucasian/European, Hispanic/Latino",Undergraduate,Marketing Analytics,6,6,5,6,Independent,5,4,6,5,6,3,6,3,5,7,5,3,5,3,6,6,6,3,5,6,3,5,2,5,5,6,2,6,5,6,3,6,3,6,2,5,2,3,2,6,1,5,6,6
8/6/2017 12:12:43,td-20,30,Female,White/Caucasian/European,PhD,Computer Science,7,1,3,5,Democrat,5,4,4,2,6,4,6,5,5,6,4,2,5,5,4,5,6,5,3,6,3,7,4,6,6,4,2,4,1,6,2,5,5,5,1,6,5,2,2,6,5,6,5,5
